No.,Date,,,Time,Location,,,Magnitude,,Ref.
,Y,M,D,,Lat.,Long.,Dept,mb,Ms,
318,1933,2,26,50942,27.5,57.5,,,,ISS
319,1933,4,16,65446,39,48.5,33,,4.8,KAR
320,1933,7,7,73051,24,65,,,5.4,MEA
321,1933,8,24,1201,40.3,48.5,33,,4,KAR
322,1933,9,6,,39.299,46.6,33,,5.5,ULM
323,1933,10,5,1329,34.52,57.07,,6.2,6,AMB
324,1933,11,6,70716,39.3,46.6,33,,5.5,KAR
325,1933,11,28,1109,32.01,55.94,,6.4,6.2,AMB
326,1933,12,12,52146,32.2,55.8,,,,ISS
327,1933,12,14,185149,32.2,55.8,,,,ISS
328,1934,1,1,215555,32,56.1,,,,ISS
329,1934,1,2,2055,29.97,57.42,,,5.6,AMB
330,1934,2,4,1327,30.65,51.64,,,6.3,AMB
331,1934,2,16,75953,26,54.8,,,,ISS
332,1934,2,22,807,38.76,45.94,,6.1,5.7,AMB
333,1934,2,26,144719,27.5,57.5,,,,ISS
334,1934,3,10,20318,26.5,52.5,,,,ISS
335,1934,3,13,233338,30.5,51.7,,,,ISS
336,1934,3,18,221933,26.5,52.5,,,,ISS
337,1934,3,18,224437,26.5,52.5,,,,ISS
338,1934,3,19,32828,27,52.5,,,,ISS
339,1934,4,3,112637,35.5,65,,,5.4,MEA
340,1934,4,6,150000,29,52,,,4.2,MOF
341,1934,4,19,2327,24,65,,,5.4,MEA
342,1934,6,8,20203,40.5,48.7,33,,4.6,KAR
343,1934,6,13,2210,27.63,62.64,,6.9,6.6,AMB
344,1934,8,31,4002,27.5,53.3,,,,ISS
345,1934,10,29,1615,39.9,47.8,,,5.7,AMB
346,1934,11,2,220616,39.9,48.7,22,,4.3,MEA
347,1935,1,6,212458,39.5,46.2,80,4.8,4.75,KAR
348,1935,1,25,1438,41.1,43.7,20,,5,KAR
349,1935,1,26,114044,41.2,43.8,33,,4.8,KAR
350,1935,3,5,1026,35.94,53.06,,,5.8,AMB
351,1935,4,2,195452,41.2,43.6,,,,ISS
352,1935,4,11,2314,36.36,53.32,,6.8,6.3,AMB
353,1935,4,12,1114,36,53.1,89,,5.4,MEA
354,1935,4,12,3339,36,52.8,17,,5.4,MEA
355,1935,4,12,10635,36,53.5,53,,5.5,MEA
356,1935,4,12,124430,36,53.4,43,,5.6,MEA
357,1935,4,12,223148,36.3,53.5,12,,5.1,MEA
358,1935,4,13,22902,36,53.5,40,,4.9,MEA
359,1935,4,15,230435,35.9,54,70,,4.4,MEA
360,1935,4,15,230447,36.3,53.5,,,,ISS
361,1935,4,17,133635,36.3,53.5,,,,ISS
362,1935,4,19,,39.6,43.1,33,,4.9,KAR
363,1935,5,1,1025,40.29,43.46,,6.2,5.8,A88
364,1935,5,2,205730,39.8,43.5,,,,ISS
365,1935,5,2,215623,41.4,43.4,33,,4.2,KAR
366,1935,5,31,131641,32,47.9,33,,5.3,FEA
367,1935,6,30,80822,24.7,66,,,,ISS
